frame_index,local_time,utc_time,sample_name,radius_m,direction,dx_vehicle_m,dy_vehicle_m,center_lon,center_lat,sample_lon,sample_lat,heading_deg,heading_convention,dem_sampling_mode,dem_mode,score,raw_score,norm_score,gradient_score,edge_iou,valid_count,valid_ratio,rough_min,rough_max,rough_mean,roughness_scale_m,dem_roughness_window_m,norm_lower_percentile,norm_upper_percentile
55,1780226433130.7632,1780226433130.7632,center,0.0,center,0.0,0.0,113.05863299445393,28.66608739439855,113.05863299445393,28.66608739439855,248.02515483961375,math,crop_rotate,local_roughness,0.11555960881723965,0.16100781853336593,0.14228334310952012,0.08289726690445237,0.10595611285266458,41155,0.16462,0,255,5.042175769805908,2.5,1.0,2.0,98.0
56,1780226433296.2642,1780226433296.2642,center,0.0,center,0.0,0.0,113.05863299041242,28.666087389343584,113.05863299041242,28.666087389343584,248.02312293686282,math,crop_rotate,local_roughness,0.11713067372142894,0.1640314786920083,0.1448148946967353,0.08329440364049892,0.10467306484886536,41041,0.164164,0,255,5.0441718101501465,2.5,1.0,2.0,98.0
57,1780226433524.4922,1780226433524.4922,center,0.0,center,0.0,0.0,113.05863298224956,28.666087377175543,113.05863298224956,28.666087377175543,248.02527615497294,math,crop_rotate,local_roughness,0.11614710517889806,0.16195573663244656,0.1433772172133815,0.08286585713675161,0.103463707151168,41093,0.164372,0,255,5.039571762084961,2.5,1.0,2.0,98.0
58,1780226433699.4807,1780226433699.4807,center,0.0,center,0.0,0.0,113.05863296981543,28.66608735461568,113.05863296981543,28.66608735461568,248.02283770691392,math,crop_rotate,local_roughness,0.11769506802613529,0.16427100458970115,0.14520126118579388,0.08407638749766368,0.10477644101274915,41012,0.164048,0,255,5.042488098144531,2.5,1.0,2.0,98.0
59,1780226433884.2812,1780226433884.2812,center,0.0,center,0.0,0.0,113.05863292608343,28.66608727223442,113.05863292608343,28.66608727223442,248.02385101693508,math,crop_rotate,local_roughness,0.11961992841048982,0.1683591038198566,0.14820651488557848,0.08468076716315923,0.10361812645531077,41073,0.164292,0,255,5.043764114379883,2.5,1.0,2.0,98.0
60,1780226434052.0608,1780226434052.0608,center,0.0,center,0.0,0.0,113.05863277965395,28.666086983983014,113.05863277965395,28.666086983983014,248.02190014021156,math,crop_rotate,local_roughness,0.1193839610515697,0.1705220563073834,0.1485636851537944,0.08371985381551728,0.10407158836689039,41126,0.164504,0,255,5.032383918762207,2.5,1.0,2.0,98.0
61,1780226434207.2812,1780226434207.2812,center,0.0,center,0.0,0.0,113.05863256609908,28.666086550987014,113.05863256609908,28.666086550987014,248.00878339806084,math,crop_rotate,local_roughness,0.12029921718767539,0.17705497397533734,0.15148072621047443,0.08218848393758768,0.10024708789269325,41545,0.16618,0,255,5.054403781890869,2.5,1.0,2.0,98.0
62,1780226434472.0881,1780226434472.0881,center,0.0,center,0.0,0.0,113.0586323064435,28.666086028044532,113.0586323064435,28.666086028044532,247.9902216169126,math,crop_rotate,local_roughness,0.11773113817854647,0.18415461465866856,0.15405849280434974,0.07333103808034244,0.09960804362644854,43012,0.172048,0,255,5.077355861663818,2.5,1.0,2.0,98.0
63,1780226434653.918,1780226434653.918,center,0.0,center,0.0,0.0,113.05863192363368,28.66608522711509,113.05863192363368,28.66608522711509,247.9628861679455,math,crop_rotate,local_roughness,0.1178035238293743,0.17665008846980415,0.15367501476872203,0.0739605904590604,0.10342799529490841,43774,0.175096,0,255,5.110452175140381,2.5,1.0,2.0,98.0
64,1780226434827.6506,1780226434827.6506,center,0.0,center,0.0,0.0,113.05863143890255,28.666084236654314,113.05863143890255,28.666084236654314,247.93769498903123,math,crop_rotate,local_roughness,0.12516908276847508,0.19526639843481458,0.1633206969493948,0.07853933210290648,0.10558486142510257,44010,0.17604,0,255,5.132867813110352,2.5,1.0,2.0,98.0
